@relation query4

@attribute script_run_id string
@attribute script_run_dir string
@attribute length {80,100,200}
@attribute similarity {40,65,80}
@attribute word_length {10,12,16}
@attribute fixed_length {1}
@attribute duration numeric
@attribute total_fasta_length numeric
@attribute total_read numeric
@attribute total_written numeric
@attribute total_written/total_fasta_length numeric
@attribute total_genomes {10,20,30,40}

@data
'allvsall-run002-2155552848','/dcap1/mluiza/gecko/peerj/10genomas',80,65,16,1,30.4539999962,41519077,34212310243,7554102254,181,10
'allvsall-run003-2638449205','/dcap1/mluiza/gecko/peerj/10genomas',80,65,16,1,39.8960001469,41519077,34212310243,7554102254,181,10
'allvsall-run001-3746393211','/dcap1/mluiza/gecko/peerj/20genomas',80,65,16,1,29.0810000896,73285237,119802625369,13621731664,185,20
'allvsall-run002-756986114','/dcap1/mluiza/gecko/peerj/20genomas',80,65,16,1,66.7980000973,73285237,119802625369,13621731664,185,20
'allvsall-run003-3534616566','/dcap1/mluiza/gecko/peerj/20genomas',80,65,16,1,67.748000145,73285237,119802625369,13621731664,185,20
'allvsall-run001-3432327900','/dcap1/mluiza/gecko/peerj/30genomas',80,65,16,1,81.2910001278,113556442,277160685949,21681309131,190,30
'allvsall-run002-1807021764','/dcap1/mluiza/gecko/peerj/30genomas',80,65,16,1,86.2050001621,113556442,277160685949,21681309131,190,30
'allvsall-run003-3130716022','/dcap1/mluiza/gecko/peerj/30genomas',80,65,16,1,114.2329998016,113556442,277160685949,21681309131,190,30
'allvsall-run001-2882519428','/dcap1/mluiza/gecko/peerj/40genomas',80,65,16,1,218.8200001717,149261021,485381283445,30069702384,201,40
'allvsall-run002-1227511297','/dcap1/mluiza/gecko/peerj/40genomas',80,65,16,1,287.4879999161,149261021,485381283445,30069702384,201,40
'allvsall-run003-2301973801','/dcap1/mluiza/gecko/peerj/40genomas',80,65,16,1,251.6930000782,149261021,485381283445,30069702384,201,40
